Nazwa przedmiotu	Rok studiów	Prowadzący	Limit miejsc	Forma zaliczenia sem. zimowy	Forma zaliczenia sem. letni	Liczba godzin sem. zimowy	Liczba godzin sem. letni	ECTS semestr zimowy	ECTS semestr letni	ECTS łącznie	Wydział	Jednostka	Dzień tygodnia	Godzina rozpoczęcia	Godzina zakończenia	Sala	Dodatkowe informacje o zaliczeniu	Uwagi	Semestr
Akustyka i elektroakustyka	2L	mgr Maciej Michaluk	3	zst	zst	1	1	1	1	2	I		czwartek	13:50	14:35	001E			
Analiza i interpretacja dzieła muzycznego 1	1L	prof. dr hab. Anna Granat-Janki	5	zst	egz	2	2	2	2	4	I		czwartek	10:00	11:30	202B			
Analiza i interpretacja dzieła muzycznego 2	2L	prof. dr hab. Anna Granat-Janki	5	zst	egz	2	2	2	2	4	I		czwartek	12:00	13:30	202B		Kontynuacja "Analizy i interpretacji dzieła muzycznego 1"	
Analiza współczesnego dzieła muzycznego	1M	dr hab. Paweł Hendrich	0	zal	zst	2	2	2	2	4	I		wtorek	14:10	15:30	005D			
Audiacja, projektowanie i przestrzenna dystrybucja dźwięku	2M	dr hab. Paweł Hendrich	1	zst	egz	1	1	1	1	2	I		wtorek	16:15	17:45	112 SKK		Wymagania wstępne: ukończony kurs "Propedeutyka kompozycji komputerowej" i "Komputer w pracy twórczej" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tych kursów. Realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach	
Edytorstwo muzyczne poziom 1	1L	dr Grzegorz Wierzba	2	zal	zst	1	1	1	1	2	I		środa	14:00	14:45	404B			
Edytorstwo muzyczne poziom 2	2L	dr Grzegorz Wierzba	2	zal	zst	1	1	1	1	2	I		wtorek	11:20	12:05	404B		Ukończony kurs Edytorstwa muzycznego poziom 1 lub znajomość przynajmniej jednego z profesjonalnych programów do edycji nut w stopniu podstawowym.	
Estetyka muzyki	1M	mgr Jan Bielak	2	zal	zst	2	2	2	2	4	I		poniedziałek	13:40	15:10	301B			
Etnomuzykologia 1	1M	dr Agnieszka Zwierzycka	5	zal	zst	1	1	1	1	2	I		czwartek	16:25	17:55	001F		co dwa tygodnie	
Etnomuzykologia 2	2M	dr Agnieszka Zwierzycka	5	zal	zst	1	1	1	1	2	I		czwartek	16:25	17:55	001F		co dwa tygodnie	
Formy muzyczne	1L	mgr Aleksandra Ferenc	5	zst	zst	2	2	2	2	4	I		wtorek	12:00	13:30	301B			
Fuga (grupa 1)	3L	prof. dr hab. Krystian Kiełb	2	zst	egz	2	2	2	2	4	I		wtorek	14:00	15:30	203B		Polifonia XX i XXI wieku	
Fuga (grupa 2)	3L	prof. dr hab. Krystian Kiełb	2	zst	egz	2	2	2	2	4	I		wtorek	14:45	17:15	203B		Polifonia XX i XXI wieku	
Harmonia XX i XXI wieku (grupa 1)	2L	dr hab. Adam Porębski	2	zst	zst	2	2	2	2	4	I		wtorek	10:35	12:05	002E		rekomendowane ukończenie kursu Harmonia systemu funkcyjnego (na roku 1)	
Harmonia XX i XXI wieku (grupa 2)	2L	dr hab. Adam Porębski	2	zst	zst	2	2	2	2	4	I		wtorek	12:15	13:45	002E		rekomendowane ukończenie kursu Harmonia systemu funkcyjnego (na roku 1)	
Harmonia systemu funkcyjnego (grupa 1)	1L	dr Katarzyna Dziewiątkowska	3	zst	zst	2	2	2	2	4	I		poniedziałek	10:25	11:55	203B			
Harmonia systemu funkcyjnego (grupa 2)	1L	dr Katarzyna Dziewiątkowska	3	zst	zst	2	2	2	2	4	I		poniedziałek	12:10	13:40	203B			
Historia i literatura muzyki elektroakustycznej	3L	dr Marta Śniady	3	zst	egz	2	2	2	2	4	I		środa	17:50	19:20	301B			
Historia muzyki 1	1L	dr Miłosz Kula	20	zst	zst	2	2	2	2	4	I		poniedziałek	08:50	10:20	001E		 Od starożytności do XVIII w.	
Historia muzyki 2	2L	dr hab. Tomasz Kienik	8	zst	egz	2	2	2	2	4	I		poniedziałek	10:25	11:55	301B		 Od klasycyzmu do XX w.	
Historia muzyki teatralnej i filmowej	1M	dr Katarzyna Dziewiątkowska	15	zal	zst	2	2	2	2	4	I		wtorek	09:00	12:00	301B		realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach	
Historia śląskiej kultury muzycznej	3L	dr Miłosz Kula	15	zst	egz	1	1	1	1	2	I		poniedziałek	12:50	13:35	001E			
Historia teorii muzyki (wykład)	1M	dr hab. Tomasz Kienik	4	zst	egz	1	1	1	1	2	I		poniedziałek	12:00	13:30	217A			
Komputer w pracy twórczej (grupa 1)	1M	dr hab. Paweł Hendrich	1	zal	zst	1	1	2	2	4	I		wtorek	16:00	17:30	112 SKK		Wymagania wstępne: ukończony kurs "Propedeutyka kompozycji komputerowej" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tego kursu. Realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach	
Komputer w pracy twórczej (grupa 2)	1M	dr hab. Paweł Hendrich	1	zal	zst	1	1	2	2	4	I		wtorek	17:30	19:00	112 SKK		Wymagania wstępne: ukończony kurs "Propedeutyka kompozycji komputerowej" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tego kursu. Realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach	
Kontrapunkt	2L	dr Katarzyna Dziewiątkowska	2	zst	egz	2	2	2	2	4	I		poniedziałek	08:50	10:20	203B		Kontynuacja "Kontrapunktu 1"	
Kontrapunkt 1 (grupa 1)	1L	dr Michał Ziółkowski	2	zst	zst	2	2	2	2	4	I		wtorek	15:25	17:05	301B			
Kontrapunkt 1 (grupa 2)	1L	dr Michał Ziółkowski	2	zst	zst	2	2	2	2	4	I		wtorek	17:10	18:40	301B			
Krytyka i prelekcja	2L	mgr Joanna Kołodziejska	10	zal	zst	2	2	2	2	4	I		środa	15:05	16:35	002E			
Kształcenie słuchu 1 (grupa 1)	1L	mgr Jan Przegendza	2	zst	zst	2	2	2	2	4	I		poniedziałek	17:45	19:15	002E		po semestrze zimowym zmiana prowadzących - wymiana z gr. 2	
Kształcenie słuchu 1 (grupa 2)	1L	mgr Urszula Koza	5	zst	zst	2	2	2	2	4	I		poniedziałek	17:45	19:15	301B		po semestrze zimowym zmiana prowadzących - wymiana z gr. 1	
Kształcenie słuchu 2 (grupa 1)	2L	dr hab. Michał Moc	2	zst	egz	2	2	2	2	4	I		poniedziałek	15:15	16:00	301F		Kontynuacja "Kształcenia słuchu 1". Zapis tylko po wcześniejszym ustaleniu z prowadzącym. e-learning: realizowany indywidualnie wt-sb	
Kształcenie słuchu 2 (grupa 2)	2L	dr hab. Michał Moc	2	zst	egz	2	2	2	2	4	I		poniedziałek	16:15	17:00	301F		Kontynuacja "Kształcenia słuchu 1". Zapis tylko po wcześniejszym ustaleniu z prowadzącym. e-learning: realizowany indywidualnie wt-sb	
Kształcenie słuchu z partyturą orkiestrową	3L	dr hab. Tomasz Kienik	5	zst	egz	2	2	2	2	4	I		poniedziałek	08:50	10:20	301B		Przedmiot rekomendowany studentom kompozycji i teorii muzyki	
Kultura i sztuka Baroku na Śląsku 1648-1741	3L	dr Dariusz Galewski	30	zal	zst	2	2	2	2	4	I		piątek	10:05	11:35	001E			
Literatura muzyczna 1	1L	dr Miłosz Kula	15	zst	zst	2	2	2	2	4	I		poniedziałek	13:50	15:20	001E		Od starożytności do XVIII w.	
Literatura muzyczna 2	2L	dr Aleksandra Pijarowska, prof. AMKL	2	zst	egz	2	2	2	2	4	I		środa	11:00	12:30	301B		Kontynuacja "Literatury muzycznej 1"	
