Akustyka i elektroakustyka	2L	mgr Maciej Michaluk	3	zst	zst	1	1	1	1	2	I		poniedziałek	13:40	14:25	001E			
Analiza i interpretacja dzieła muzycznego 1	1L	prof. dr hab. Anna Granat-Janki	5	zst	egz	2	2	2	2	4	I		czwartek	10:00	11:30	202B			
Analiza i interpretacja dzieła muzycznego 2	2L	prof. dr hab. Anna Granat-Janki	5	zst	egz	2	2	2	2	4	I		czwartek	12:00	13:30	202B		Kontynuacja "Analizy i interpretacji dzieła muzycznego 1"	
Analiza komputerowa	1M	dr hab. Paweł Hendrich, prof. AMKL		zal	zst	1	1	2	2	4	I		wtorek	16:00	17:30	112E SKK	Realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach.		
Analiza współczesnego dzieła muzycznego	1M	dr Aleksandra Ferenc	2	zal	zst	2	2	2	2	4	I		środa	12:35	14:05	005D			
Audiacja, projektowanie i przestrzenna dystrybucja dźwięku	2M	dr hab. Paweł Hendrich, prof .AMKL	1	zst	egz	1	1	1	1	2	I		wtorek	16:00	17:30	112E SKK	Realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach.	Wymagania wstępne: ukończony kurs "Propedeutyka kompozycji komputerowej" i "Komputer w pracy twórczej" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tych kursów	
Edytorstwo muzyczne poziom 1 (grupa 1)	1L	dr Grzegorz Wierzba	2	zal	zst	1	1	1	1	2	I		środa	12:45	13:30	404B			
Edytorstwo muzyczne poziom 1 (grupa 2)	1L	dr Grzegorz Wierzba	2	zal	zst	1	1	1	1	2	I		środa	13:35	14:20	404B			
Edytorstwo muzyczne poziom 2 (grupa 1)	2L	dr Grzegorz Wierzba	2	zal	zst	1	1	1	1	2	I		wtorek	10:25	11:10	404B		Ukończony kurs Edytorstwa muzycznego poziom 1 lub znajomość przynajmniej jednego z profesjonalnych programów do edycji nut w stopniu podstawowym.	
Edytorstwo muzyczne poziom 2 (grupa 2)	2L	dr Grzegorz Wierzba	2	zal	zst	1	1	1	1	2	I		wtorek	11:10	11:55	404B		Ukończony kurs Edytorstwa muzycznego poziom 1 lub znajomość przynajmniej jednego z profesjonalnych programów do edycji nut w stopniu podstawowym.	
Estetyka muzyki	1M	mgr Jan Bielak	2	zal	zst	2	2	2	2	4	I		poniedziałek	13:40	15:10	301B			
Etnomuzykologia 1	1M	dr Agnieszka Zwierzycka	5	zal	zst	1	1	1	1	2	I		czwartek	16:25	17:55	001F	co dwa tygodnie		
Etyka	L/M	mgr o. Wojciech Bartnicki	30	zal	zst	2	2	2	3	5	I		środa	12:40	14:10	001E			
Formy muzyczne	1L	dr Aleksandra Ferenc	5	zst	zst	2	2	2	2	4	I		wtorek	12:10	13:40	301B			
Harmonia XX i XXI wieku	2L	dr hab. Adam Porębski	2	zst	zst	2	2	2	2	4	I		wtorek	12:00	13:30	002E		rekomendowane ukończenie kursu Harmonia systemu funkcyjnego (na roku 1)	
Historia i literatura muzyki elektroakustycznej	3L	mgr Maciej Michaluk	3	zst	egz	2	2	2	2	4	I		środa	12:30	14:00	112E SKK			
Historia muzyki 1	1L	dr Miłosz Kula	20	zst	zst	2	2	2	2	4	I		poniedziałek	08:50	10:20	001E		 Od starożytności do XVIII w.	
Historia muzyki 2	2L	dr hab. Tomasz Kienik	8	zst	egz	2	2	2	2	4	I		poniedziałek	10:25	11:55	301B		 Od klasycyzmu do XX w.	
Historia muzyki teatralnej i filmowej	1M	dr Katarzyna Dziewiątkowska	15	zal	zst	2	2	2	2	4	I		wtorek	09:00	12:00	301B	realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach		
Historia śląskiej kultury muzycznej	3L	dr Miłosz Kula	15	zst	egz	1	1	1	1	2	I		poniedziałek	14:35	15:20	001E			
Historia teorii muzyki (wykład)	1M	dr hab. Tomasz Kienik	4	zst	egz	1	1	1	1	2	I		poniedziałek	12:00	13:30	301B	realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach		
Komputer w pracy twórczej	1M	dr hab. Paweł Hendrich	1	zal	zst	1	1	2	2	4	I		wtorek	14:20	15:50	112 SKK	realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach	Wymagania wstępne: ukończony kurs "Propedeutyka kompozycji komputerowej" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tego kursu	
Kontrapunkt 1 (grupa 1)	1L	mgr Jan Przegendza	2	zst	zst	2	2	2	2	4	I		wtorek	09:00	10:30	002E			
Kontrapunkt 1 (grupa 2)	1L	dr Michał Ziółkowski	2	zst	zst	2	2	2	2	4	I		wtorek	13:45	15:15	301B			
Kontrapunkt 2	2L	dr Katarzyna Dziewiątkowska	2	zst	egz	2	2	2	2	4	I		poniedziałek	12:00	13:30	217A		Kontynuacja "Kontrapunktu 1"	
Krytyka i prelekcja	2L	mgr Joanna Kołodziejska	10	zal	zst	2	2	2	2	4	I		środa	15:20	16:50	002E			
Kształcenie słuchu 1 (grupa 1)	1L	mgr Jan Przegendza	2	zst	zst	2	2	2	2	4	I		poniedziałek	14:35	15:55	002E		po semestrze zimowym zmiana prowadzących - wymiana z gr. 2	
Kształcenie słuchu 1 (grupa 2)	1L	mgr Urszula Koza	5	zst	zst	2	2	2	2	4	I		środa	09:30	11:00	301F		po semestrze zimowym zmiana prowadzących - wymiana z gr. 1	
